"Recipient","Year","Import","Regime"
"Netherlands","2016",76,"Democratic"
"Netherlands","2017",36,"Democratic"
"Netherlands","2018",140,"Democratic"
"Netherlands","2019",494,"Democratic"
"Netherlands","2020",575,"Democratic"
"Netherlands","2021",510,"Democratic"
"Netherlands","2022",733,"Democratic"
"Netherlands","2023",402,"Democratic"
"Libya","1957",3,"Autocratic"
"Libya","1959",1,"Autocratic"
"Libya","1960",14,"Autocratic"
"Libya","1961",17,"Autocratic"
"Libya","1962",2,"Autocratic"
"Libya","1963",3,"Autocratic"
"Libya","1964",15,"Autocratic"
"Libya","1965",9,"Autocratic"
"Libya","1966",26,"Autocratic"
"Libya","1967",12,"Autocratic"
"Libya","1968",57,"Autocratic"
"Libya","1969",152,"Autocratic"
"Libya","1970",371,"Autocratic"
"Libya","1971",540,"Autocratic"
"Libya","1972",534,"Autocratic"
"Libya","1973",733,"Autocratic"
"Libya","1974",1767,"Autocratic"
"Libya","1975",1647,"Autocratic"
"Libya","1976",1858,"Autocratic"
"Libya","1977",3064,"Autocratic"
"Libya","1978",4222,"Autocratic"
"Libya","1979",3173,"Autocratic"
"Libya","1980",2950,"Autocratic"
"Libya","1981",3142,"Autocratic"
"Libya","1982",2748,"Autocratic"
"Libya","1983",1408,"Autocratic"
"Libya","1984",730,"Autocratic"
"Libya","1985",746,"Autocratic"
"Libya","1986",401,"Autocratic"
"Libya","1987",184,"Autocratic"
"Libya","1988",9,"Autocratic"
"Libya","1989",218,"Autocratic"
"Libya","1990",11,"Autocratic"
"Libya","1999",6,"Autocratic"
"Libya","2005",1,"Autocratic"
"Libya","2006",16,"Autocratic"
"Libya","2007",16,"Autocratic"
"Libya","2008",16,"Autocratic"
"Libya","2009",22,"Autocratic"
"Libya","2010",37,"Autocratic"
"Libya","2011",8,"Autocratic"
"Libya","2012",73,"Electoral Authoritarian"
"Libya","2013",116,"Democratic"
"Spain","1950",1,"Autocratic"
"Spain","1953",68,"Autocratic"
"Spain","1954",88,"Autocratic"
"Spain","1955",197,"Autocratic"
"Spain","1956",264,"Autocratic"
"Spain","1957",287,"Autocratic"
"Spain","1958",136,"Autocratic"
"Spain","1959",294,"Autocratic"
"Spain","1960",214,"Autocratic"
"Spain","1961",103,"Autocratic"
"Spain","1962",55,"Autocratic"
"Spain","1963",14,"Autocratic"
"Spain","1964",51,"Autocratic"
"Spain","1965",382,"Autocratic"
"Spain","1966",302,"Autocratic"
"Spain","1967",303,"Autocratic"
"Spain","1968",133,"Autocratic"
"Spain","1969",183,"Autocratic"
"Spain","1970",233,"Autocratic"
"Spain","1971",604,"Autocratic"
"Spain","1972",759,"Autocratic"
"Spain","1973",895,"Autocratic"
"Spain","1974",580,"Autocratic"
"Spain","1975",1185,"Autocratic"
"Spain","1976",831,"Autocratic"
"Spain","1977",318,"Electoral Authoritarian"
"Spain","1978",446,"Democratic"
"Spain","1979",656,"Democratic"
"Spain","1980",688,"Democratic"
"Spain","1981",630,"Democratic"
"Spain","1982",507,"Democratic"
"Spain","1983",604,"Democratic"
"Spain","1984",81,"Democratic"
"Spain","1985",327,"Democratic"
"Spain","1986",1089,"Democratic"
"Spain","1987",1091,"Democratic"
"Spain","1988",1942,"Democratic"
"Spain","1989",840,"Democratic"
"Spain","1990",699,"Democratic"
"Spain","1991",109,"Democratic"
"Spain","1992",207,"Democratic"
"Spain","1993",299,"Democratic"
"Spain","1994",853,"Democratic"
"Spain","1995",355,"Democratic"
"Spain","1996",424,"Democratic"
"Spain","1997",211,"Democratic"
"Spain","1998",86,"Democratic"
"Spain","1999",361,"Democratic"
"Spain","2000",320,"Democratic"
"Spain","2001",144,"Democratic"
"Spain","2002",271,"Democratic"
"Spain","2003",249,"Democratic"
"Spain","2004",300,"Democratic"
"Spain","2005",358,"Democratic"
"Spain","2006",312,"Democratic"
"Spain","2007",343,"Democratic"
"Spain","2008",347,"Democratic"
"Spain","2009",228,"Democratic"
"Spain","2010",272,"Democratic"
"Spain","2011",166,"Democratic"
"Spain","2012",219,"Democratic"
"Spain","2013",155,"Democratic"
"Spain","2014",108,"Democratic"
"Spain","2015",152,"Democratic"
"Spain","2016",104,"Democratic"
"Spain","2017",82,"Democratic"
"Spain","2018",149,"Democratic"
"Spain","2019",35,"Democratic"
"Spain","2020",71,"Democratic"
"Spain","2021",135,"Democratic"
"Spain","2022",198,"Democratic"
"Spain","2023",186,"Democratic"
"North Korea","1950",879,"Autocratic"
"North Korea","1951",408,"Autocratic"
"North Korea","1952",247,"Autocratic"
"North Korea","1953",710,"Autocratic"
"North Korea","1954",299,"Autocratic"
"North Korea","1955",422,"Autocratic"
"North Korea","1956",479,"Autocratic"
"North Korea","1957",428,"Autocratic"
"North Korea","1958",827,"Autocratic"
"North Korea","1959",579,"Autocratic"
"North Korea","1960",405,"Autocratic"
"North Korea","1961",69,"Autocratic"
"North Korea","1962",181,"Autocratic"
"North Korea","1963",197,"Autocratic"
"North Korea","1964",168,"Autocratic"
"North Korea","1965",118,"Autocratic"
"North Korea","1966",862,"Autocratic"
"North Korea","1967",862,"Autocratic"
"North Korea","1968",1307,"Autocratic"
"North Korea","1969",624,"Autocratic"
"North Korea","1970",649,"Autocratic"
"North Korea","1971",1502,"Autocratic"
"North Korea","1972",482,"Autocratic"
"North Korea","1973",550,"Autocratic"
"North Korea","1974",808,"Autocratic"
"North Korea","1975",591,"Autocratic"
"North Korea","1976",487,"Autocratic"
"North Korea","1977",297,"Autocratic"
"North Korea","1978",354,"Autocratic"
"North Korea","1979",313,"Autocratic"
"North Korea","1980",487,"Autocratic"
"North Korea","1981",347,"Autocratic"
"North Korea","1982",527,"Autocratic"
"North Korea","1983",339,"Autocratic"
"North Korea","1984",112,"Autocratic"
"North Korea","1985",963,"Autocratic"
"North Korea","1986",1075,"Autocratic"
"North Korea","1987",813,"Autocratic"
"North Korea","1988",818,"Autocratic"
"North Korea","1989",561,"Autocratic"
"North Korea","1990",340,"Autocratic"
"North Korea","1991",251,"Autocratic"
"North Korea","1992",183,"Autocratic"
"North Korea","1993",146,"Autocratic"
"North Korea","1994",79,"Autocratic"
"North Korea","1995",184,"Autocratic"
"North Korea","1996",118,"Autocratic"
"North Korea","1997",54,"Autocratic"
"North Korea","1998",54,"Autocratic"
"North Korea","1999",54,"Autocratic"
"North Korea","2000",63,"Autocratic"
"North Korea","2001",73,"Autocratic"
"North Korea","2002",54,"Autocratic"
"North Korea","2003",35,"Autocratic"
"North Korea","2004",8,"Autocratic"
"North Korea","2005",5,"Autocratic"
"North Korea","2006",5,"Autocratic"
"North Korea","2007",5,"Autocratic"
"North Korea","2008",5,"Autocratic"
"North Korea","2009",4,"Autocratic"
"North Korea","2010",1,"Autocratic"
"France","1950",180,"Democratic"
"France","1951",997,"Democratic"
"France","1952",1180,"Democratic"
"France","1953",1686,"Democratic"
"France","1954",1690,"Democratic"
"France","1955",1624,"Democratic"
"France","1956",1567,"Democratic"
"France","1957",759,"Democratic"
"France","1958",1134,"Democratic"
"France","1959",815,"Democratic"
"France","1960",526,"Democratic"
"France","1961",321,"Democratic"
"France","1962",122,"Democratic"
"France","1963",162,"Democratic"
"France","1964",1300,"Democratic"
"France","1965",378,"Democratic"
"France","1966",106,"Democratic"
"France","1967",98,"Democratic"
"France","1968",123,"Democratic"
"France","1969",64,"Democratic"
"France","1970",44,"Democratic"
"France","1971",57,"Democratic"
"France","1972",33,"Democratic"
"France","1973",51,"Democratic"
"France","1974",46,"Democratic"
"France","1975",45,"Democratic"
"France","1976",196,"Democratic"
"France","1977",204,"Democratic"
"France","1978",241,"Democratic"
"France","1979",107,"Democratic"
"France","1980",70,"Democratic"
"France","1981",106,"Democratic"
"France","1982",142,"Democratic"
"France","1983",108,"Democratic"
"France","1984",73,"Democratic"
"France","1985",20,"Democratic"
"France","1986",100,"Democratic"
"France","1987",84,"Democratic"
"France","1988",133,"Democratic"
"France","1989",107,"Democratic"
"France","1990",65,"Democratic"
"France","1991",948,"Democratic"
"France","1992",424,"Democratic"
"France","1993",96,"Democratic"
"France","1994",80,"Democratic"
"France","1995",97,"Democratic"
"France","1996",64,"Democratic"
"France","1997",223,"Democratic"
"France","1998",171,"Democratic"
"France","1999",105,"Democratic"
"France","2000",98,"Democratic"
"France","2001",61,"Democratic"
"France","2002",38,"Democratic"
"France","2003",55,"Democratic"
"France","2004",93,"Democratic"
"France","2005",2,"Democratic"
"France","2006",68,"Democratic"
"France","2007",75,"Democratic"
"France","2008",4,"Democratic"
"France","2009",74,"Democratic"
"France","2010",106,"Democratic"
"France","2011",43,"Democratic"
"France","2012",87,"Democratic"
"France","2013",107,"Democratic"
"France","2014",17,"Democratic"
"France","2015",44,"Democratic"
"France","2016",47,"Democratic"
"France","2017",85,"Democratic"
"France","2018",201,"Democratic"
"France","2019",104,"Democratic"
"France","2020",225,"Democratic"
"France","2021",105,"Democratic"
"France","2022",130,"Democratic"
"France","2023",274,"Democratic"
"Singapore","1956",6,"Electoral Authoritarian"
"Singapore","1965",1,"Autocratic"
"Singapore","1966",8,"Autocratic"
"Singapore","1968",6,"Autocratic"
"Singapore","1969",138,"Autocratic"
"Singapore","1970",92,"Autocratic"
"Singapore","1971",171,"Autocratic"
"Singapore","1972",182,"Electoral Authoritarian"
"Singapore","1973",99,"Electoral Authoritarian"
"Singapore","1974",294,"Electoral Authoritarian"
"Singapore","1975",254,"Electoral Authoritarian"
"Singapore","1976",253,"Electoral Authoritarian"
"Singapore","1977",171,"Electoral Authoritarian"
"Singapore","1978",50,"Electoral Authoritarian"
"Singapore","1979",338,"Electoral Authoritarian"
"Singapore","1980",410,"Electoral Authoritarian"
"Singapore","1981",167,"Electoral Authoritarian"
"Singapore","1982",176,"Electoral Authoritarian"
"Singapore","1983",245,"Electoral Authoritarian"
"Singapore","1984",83,"Electoral Authoritarian"
"Singapore","1985",123,"Electoral Authoritarian"
"Singapore","1986",84,"Electoral Authoritarian"
"Singapore","1987",277,"Electoral Authoritarian"
"Singapore","1988",542,"Electoral Authoritarian"
"Singapore","1989",233,"Electoral Authoritarian"
"Singapore","1990",513,"Electoral Authoritarian"
"Singapore","1991",370,"Electoral Authoritarian"
"Singapore","1992",111,"Electoral Authoritarian"
"Singapore","1993",170,"Electoral Authoritarian"
"Singapore","1994",179,"Electoral Authoritarian"
"Singapore","1995",302,"Electoral Authoritarian"
"Singapore","1996",165,"Electoral Authoritarian"
"Singapore","1997",619,"Electoral Authoritarian"
"Singapore","1998",804,"Electoral Authoritarian"
"Singapore","1999",308,"Electoral Authoritarian"
"Singapore","2000",788,"Electoral Authoritarian"
"Singapore","2001",248,"Electoral Authoritarian"
"Singapore","2002",234,"Electoral Authoritarian"
"Singapore","2003",85,"Electoral Authoritarian"
"Singapore","2004",380,"Electoral Authoritarian"
"Singapore","2005",544,"Electoral Authoritarian"
"Singapore","2006",76,"Electoral Authoritarian"
"Singapore","2007",397,"Electoral Authoritarian"
"Singapore","2008",1115,"Electoral Authoritarian"
"Singapore","2009",1415,"Electoral Authoritarian"
"Singapore","2010",936,"Electoral Authoritarian"
"Singapore","2011",876,"Electoral Authoritarian"
"Singapore","2012",749,"Electoral Authoritarian"
"Singapore","2013",756,"Electoral Authoritarian"
"Singapore","2014",68,"Electoral Authoritarian"
"Singapore","2015",153,"Electoral Authoritarian"
"Singapore","2016",637,"Electoral Authoritarian"
"Singapore","2017",404,"Electoral Authoritarian"
"Singapore","2018",547,"Electoral Authoritarian"
"Singapore","2019",470,"Electoral Authoritarian"
"Singapore","2020",154,"Electoral Authoritarian"
"Singapore","2021",204,"Electoral Authoritarian"
"Singapore","2022",493,"Electoral Authoritarian"
"Singapore","2023",802,"Electoral Authoritarian"
"Bulgaria","1950",171,"Autocratic"
"Bulgaria","1951",88,"Autocratic"
"Bulgaria","1952",117,"Autocratic"
"Bulgaria","1953",364,"Autocratic"
"Bulgaria","1954",665,"Autocratic"
"Bulgaria","1955",365,"Autocratic"
"Bulgaria","1956",305,"Autocratic"
"Bulgaria","1957",514,"Autocratic"
"Bulgaria","1958",599,"Autocratic"
"Bulgaria","1959",165,"Autocratic"
"Bulgaria","1960",474,"Autocratic"
"Bulgaria","1961",522,"Autocratic"
"Bulgaria","1962",493,"Autocratic"
"Bulgaria","1963",539,"Autocratic"
"Bulgaria","1964",326,"Autocratic"
"Bulgaria","1965",372,"Autocratic"
"Bulgaria","1966",218,"Autocratic"
"Bulgaria","1967",329,"Autocratic"
"Bulgaria","1968",256,"Autocratic"
"Bulgaria","1969",533,"Autocratic"
"Bulgaria","1970",771,"Autocratic"
"Bulgaria","1971",407,"Autocratic"
"Bulgaria","1972",460,"Autocratic"
"Bulgaria","1973",274,"Autocratic"
"Bulgaria","1974",302,"Autocratic"
"Bulgaria","1975",390,"Autocratic"
"Bulgaria","1976",368,"Autocratic"
"Bulgaria","1977",492,"Autocratic"
"Bulgaria","1978",876,"Autocratic"
"Bulgaria","1979",323,"Autocratic"
"Bulgaria","1980",580,"Autocratic"
"Bulgaria","1981",984,"Autocratic"
"Bulgaria","1982",610,"Autocratic"
"Bulgaria","1983",764,"Autocratic"
"Bulgaria","1984",943,"Autocratic"
"Bulgaria","1985",603,"Autocratic"
"Bulgaria","1986",927,"Autocratic"
"Bulgaria","1987",444,"Autocratic"
"Bulgaria","1988",248,"Autocratic"
"Bulgaria","1989",336,"Autocratic"
"Bulgaria","1990",754,"Minimally Democratic"
"Bulgaria","1991",339,"Democratic"
"Bulgaria","1992",42,"Democratic"
"Bulgaria","1993",1,"Democratic"
"Bulgaria","1994",1,"Democratic"
"Bulgaria","1995",1,"Democratic"
"Bulgaria","1996",122,"Democratic"
"Bulgaria","1999",7,"Democratic"
"Bulgaria","2003",2,"Democratic"
"Bulgaria","2004",12,"Democratic"
"Bulgaria","2005",132,"Democratic"
"Bulgaria","2006",22,"Democratic"
"Bulgaria","2007",48,"Democratic"
"Bulgaria","2008",117,"Democratic"
"Bulgaria","2009",119,"Democratic"
"Bulgaria","2010",8,"Democratic"
"Bulgaria","2011",29,"Democratic"
"Bulgaria","2012",5,"Democratic"
"Bulgaria","2015",5,"Democratic"
"Bulgaria","2019",2,"Democratic"
"Bulgaria","2020",44,"Democratic"
"Bulgaria","2021",1,"Democratic"
"Bulgaria","2022",4,"Democratic"
"Indonesia","1950",195,"Autocratic"
"Indonesia","1951",58,"Autocratic"
"Indonesia","1952",14,"Autocratic"
"Indonesia","1953",6,"Autocratic"
"Indonesia","1954",16,"Autocratic"
"Indonesia","1955",25,"Electoral Authoritarian"
"Indonesia","1956",42,"Democratic"
"Indonesia","1957",16,"Democratic"
"Indonesia","1958",687,"Electoral Authoritarian"
"Indonesia","1959",574,"Electoral Authoritarian"
"Indonesia","1960",456,"Autocratic"
"Indonesia","1961",773,"Autocratic"
"Indonesia","1962",1021,"Autocratic"
"Indonesia","1963",206,"Autocratic"
"Indonesia","1964",596,"Autocratic"
"Indonesia","1965",317,"Autocratic"
"Indonesia","1966",16,"Autocratic"
"Indonesia","1967",1,"Autocratic"
"Indonesia","1968",0,"Autocratic"
"Indonesia","1969",9,"Autocratic"
"Indonesia","1970",27,"Autocratic"
"Indonesia","1971",92,"Autocratic"
"Indonesia","1972",5,"Autocratic"
"Indonesia","1973",73,"Autocratic"
"Indonesia","1974",73,"Autocratic"
"Indonesia","1975",4,"Autocratic"
"Indonesia","1976",156,"Autocratic"
"Indonesia","1977",62,"Autocratic"
"Indonesia","1978",124,"Autocratic"
"Indonesia","1979",370,"Autocratic"
"Indonesia","1980",898,"Autocratic"
"Indonesia","1981",790,"Autocratic"
"Indonesia","1982",356,"Autocratic"
"Indonesia","1983",228,"Autocratic"
"Indonesia","1984",100,"Autocratic"
"Indonesia","1985",289,"Autocratic"
"Indonesia","1986",432,"Autocratic"
"Indonesia","1987",264,"Autocratic"
"Indonesia","1988",285,"Autocratic"
"Indonesia","1989",249,"Autocratic"
"Indonesia","1990",202,"Autocratic"
"Indonesia","1991",11,"Autocratic"
"Indonesia","1992",51,"Autocratic"
"Indonesia","1993",212,"Autocratic"
"Indonesia","1994",471,"Autocratic"
"Indonesia","1995",283,"Autocratic"
"Indonesia","1996",379,"Autocratic"
"Indonesia","1997",103,"Autocratic"
"Indonesia","1998",87,"Autocratic"
"Indonesia","1999",163,"Democratic"
"Indonesia","2000",146,"Democratic"
"Indonesia","2001",24,"Democratic"
"Indonesia","2002",63,"Democratic"
"Indonesia","2003",354,"Democratic"
"Indonesia","2004",78,"Democratic"
"Indonesia","2005",33,"Democratic"
"Indonesia","2006",62,"Democratic"
"Indonesia","2007",578,"Democratic"
"Indonesia","2008",249,"Democratic"
"Indonesia","2009",445,"Democratic"
"Indonesia","2010",223,"Democratic"
"Indonesia","2011",258,"Democratic"
"Indonesia","2012",216,"Democratic"
"Indonesia","2013",828,"Democratic"
"Indonesia","2014",1196,"Democratic"
"Indonesia","2015",437,"Democratic"
"Indonesia","2016",353,"Democratic"
"Indonesia","2017",1101,"Democratic"
"Indonesia","2018",354,"Democratic"
"Indonesia","2019",237,"Democratic"
"Indonesia","2020",279,"Democratic"
"Indonesia","2021",366,"Democratic"
"Indonesia","2022",86,"Democratic"
"Indonesia","2023",405,"Democratic"
"Belgium","1950",198,"Democratic"
"Belgium","1951",485,"Democratic"
"Belgium","1952",972,"Democratic"
"Belgium","1953",1098,"Democratic"
"Belgium","1954",604,"Democratic"
"Belgium","1955",361,"Democratic"
"Belgium","1956",687,"Democratic"
"Belgium","1957",685,"Democratic"
"Belgium","1958",897,"Democratic"
"Belgium","1959",179,"Democratic"
"Belgium","1960",92,"Democratic"
"Belgium","1961",132,"Democratic"
"Belgium","1962",188,"Democratic"
"Belgium","1963",573,"Democratic"
"Belgium","1964",648,"Democratic"
"Belgium","1965",517,"Democratic"
"Belgium","1966",111,"Democratic"
"Belgium","1967",39,"Democratic"
"Belgium","1968",220,"Democratic"
"Belgium","1969",240,"Democratic"
"Belgium","1970",514,"Democratic"
"Belgium","1971",499,"Democratic"
"Belgium","1972",492,"Democratic"
"Belgium","1973",580,"Democratic"
"Belgium","1974",113,"Democratic"
"Belgium","1975",130,"Democratic"
"Belgium","1976",184,"Democratic"
"Belgium","1977",187,"Democratic"
"Belgium","1978",412,"Democratic"
"Belgium","1979",792,"Democratic"
"Belgium","1980",577,"Democratic"
"Belgium","1981",521,"Democratic"
"Belgium","1982",438,"Democratic"
"Belgium","1983",583,"Democratic"
"Belgium","1984",575,"Democratic"
"Belgium","1985",287,"Democratic"
"Belgium","1986",91,"Democratic"
"Belgium","1987",91,"Democratic"
"Belgium","1988",407,"Democratic"
"Belgium","1989",203,"Democratic"
"Belgium","1990",314,"Democratic"
"Belgium","1991",125,"Democratic"
"Belgium","1992",48,"Democratic"
"Belgium","1993",73,"Democratic"
"Belgium","1994",47,"Democratic"
"Belgium","1995",16,"Democratic"
"Belgium","1996",3,"Democratic"
"Belgium","1997",50,"Democratic"
"Belgium","1998",55,"Democratic"
"Belgium","1999",58,"Democratic"
"Belgium","2000",36,"Democratic"
"Belgium","2001",30,"Democratic"
"Belgium","2002",48,"Democratic"
"Belgium","2003",21,"Democratic"
"Belgium","2004",15,"Democratic"
"Belgium","2005",3,"Democratic"
"Belgium","2006",15,"Democratic"
"Belgium","2007",171,"Democratic"
"Belgium","2008",191,"Democratic"
"Belgium","2009",86,"Democratic"
"Belgium","2010",35,"Democratic"
"Belgium","2011",23,"Democratic"
"Belgium","2012",29,"Democratic"
"Belgium","2013",45,"Democratic"
"Belgium","2014",97,"Democratic"
"Belgium","2015",52,"Democratic"
"Belgium","2016",4,"Democratic"
"Belgium","2017",7,"Democratic"
"Belgium","2018",1,"Democratic"
"Belgium","2019",9,"Democratic"
"Belgium","2020",90,"Democratic"
"Belgium","2021",255,"Democratic"
"Belgium","2022",158,"Democratic"
"Belgium","2023",86,"Democratic"
"Romania","1950",7,"Autocratic"
"Romania","1951",79,"Autocratic"
"Romania","1952",407,"Autocratic"
"Romania","1953",809,"Autocratic"
"Romania","1954",605,"Autocratic"
"Romania","1955",454,"Autocratic"
"Romania","1956",450,"Autocratic"
"Romania","1957",189,"Autocratic"
"Romania","1958",109,"Autocratic"
"Romania","1959",100,"Autocratic"
"Romania","1960",116,"Autocratic"
"Romania","1961",30,"Autocratic"
"Romania","1962",179,"Autocratic"
"Romania","1963",230,"Autocratic"
"Romania","1964",421,"Autocratic"
"Romania","1965",520,"Autocratic"
"Romania","1966",401,"Autocratic"
"Romania","1967",442,"Autocratic"
"Romania","1968",591,"Autocratic"
"Romania","1969",399,"Autocratic"
"Romania","1970",561,"Autocratic"
"Romania","1971",471,"Autocratic"
"Romania","1972",497,"Autocratic"
"Romania","1973",538,"Autocratic"
"Romania","1974",673,"Autocratic"
"Romania","1975",636,"Autocratic"
"Romania","1976",294,"Autocratic"
"Romania","1977",348,"Autocratic"
"Romania","1978",296,"Autocratic"
"Romania","1979",642,"Autocratic"
"Romania","1980",516,"Autocratic"
"Romania","1981",470,"Autocratic"
"Romania","1982",445,"Autocratic"
"Romania","1983",284,"Autocratic"
"Romania","1984",243,"Autocratic"
"Romania","1985",330,"Autocratic"
"Romania","1986",455,"Autocratic"
"Romania","1987",214,"Autocratic"
"Romania","1988",199,"Autocratic"
"Romania","1989",294,"Autocratic"
"Romania","1990",596,"Democratic"
"Romania","1991",63,"Democratic"
"Romania","1992",185,"Minimally Democratic"
"Romania","1993",14,"Minimally Democratic"
"Romania","1994",29,"Minimally Democratic"
"Romania","1995",2,"Minimally Democratic"
"Romania","1996",39,"Democratic"
"Romania","1997",61,"Democratic"
"Romania","1998",170,"Democratic"
"Romania","1999",142,"Democratic"
"Romania","2000",21,"Democratic"
"Romania","2001",24,"Democratic"
"Romania","2002",21,"Democratic"
"Romania","2003",17,"Democratic"
"Romania","2004",285,"Democratic"
"Romania","2005",436,"Democratic"
"Romania","2006",60,"Democratic"
"Romania","2007",97,"Democratic"
"Romania","2008",76,"Democratic"
"Romania","2009",56,"Democratic"
"Romania","2010",107,"Democratic"
"Romania","2011",80,"Democratic"
"Romania","2012",21,"Democratic"
"Romania","2013",20,"Democratic"
"Romania","2014",0,"Democratic"
"Romania","2015",22,"Democratic"
"Romania","2016",177,"Democratic"
"Romania","2017",88,"Democratic"
"Romania","2018",35,"Democratic"
"Romania","2019",13,"Democratic"
"Romania","2020",189,"Democratic"
"Romania","2021",190,"Democratic"
"Romania","2022",184,"Democratic"
"Romania","2023",328,"Democratic"
"Norway","1950",113,"Democratic"
"Norway","1951",127,"Democratic"
"Norway","1952",426,"Democratic"
"Norway","1953",421,"Democratic"
"Norway","1954",19,"Democratic"
"Norway","1955",168,"Democratic"
"Norway","1956",290,"Democratic"
"Norway","1957",150,"Democratic"
"Norway","1958",152,"Democratic"
"Norway","1959",119,"Democratic"
"Norway","1960",153,"Democratic"
"Norway","1961",93,"Democratic"
"Norway","1962",60,"Democratic"
"Norway","1963",227,"Democratic"
"Norway","1964",260,"Democratic"
"Norway","1965",368,"Democratic"
"Norway","1966",759,"Democratic"
"Norway","1967",685,"Democratic"
"Norway","1968",289,"Democratic"
"Norway","1969",524,"Democratic"
"Norway","1970",145,"Democratic"
"Norway","1971",86,"Democratic"
"Norway","1972",68,"Democratic"
"Norway","1973",63,"Democratic"
"Norway","1974",55,"Democratic"
"Norway","1975",49,"Democratic"
"Norway","1976",35,"Democratic"
"Norway","1977",27,"Democratic"
"Norway","1978",24,"Democratic"
"Norway","1979",47,"Democratic"
"Norway","1980",254,"Democratic"
"Norway","1981",435,"Democratic"
"Norway","1982",457,"Democratic"
"Norway","1983",441,"Democratic"
"Norway","1984",337,"Democratic"
"Norway","1985",122,"Democratic"
"Norway","1986",141,"Democratic"
"Norway","1987",198,"Democratic"
"Norway","1988",308,"Democratic"
"Norway","1989",600,"Democratic"
"Norway","1990",435,"Democratic"
"Norway","1991",321,"Democratic"
"Norway","1992",253,"Democratic"
"Norway","1993",180,"Democratic"
"Norway","1994",93,"Democratic"
"Norway","1995",77,"Democratic"
"Norway","1996",151,"Democratic"
"Norway","1997",158,"Democratic"
"Norway","1998",152,"Democratic"
"Norway","1999",150,"Democratic"
"Norway","2000",229,"Democratic"
"Norway","2001",99,"Democratic"
"Norway","2002",90,"Democratic"
"Norway","2003",9,"Democratic"
"Norway","2004",6,"Democratic"
"Norway","2005",14,"Democratic"
"Norway","2006",557,"Democratic"
"Norway","2007",596,"Democratic"
"Norway","2008",603,"Democratic"
"Norway","2009",571,"Democratic"
"Norway","2010",150,"Democratic"
"Norway","2011",607,"Democratic"
"Norway","2012",147,"Democratic"
"Norway","2013",51,"Democratic"
"Norway","2014",16,"Democratic"
"Norway","2015",143,"Democratic"
"Norway","2016",142,"Democratic"
"Norway","2017",353,"Democratic"
"Norway","2018",520,"Democratic"
"Norway","2019",394,"Democratic"
"Norway","2020",436,"Democratic"
"Norway","2021",523,"Democratic"
"Norway","2022",700,"Democratic"
"Norway","2023",203,"Democratic"
"Brazil","1951",615,"Electoral Authoritarian"
"Brazil","1953",133,"Electoral Authoritarian"
"Brazil","1954",112,"Electoral Authoritarian"
"Brazil","1955",379,"Electoral Authoritarian"
"Brazil","1956",55,"Electoral Authoritarian"
"Brazil","1957",152,"Electoral Authoritarian"
"Brazil","1958",139,"Electoral Authoritarian"
"Brazil","1959",130,"Electoral Authoritarian"
"Brazil","1960",236,"Electoral Authoritarian"
"Brazil","1961",212,"Electoral Authoritarian"
"Brazil","1962",62,"Electoral Authoritarian"
"Brazil","1963",127,"Electoral Authoritarian"
"Brazil","1964",25,"Autocratic"
"Brazil","1965",149,"Autocratic"
"Brazil","1966",57,"Autocratic"
"Brazil","1967",218,"Autocratic"
"Brazil","1968",236,"Autocratic"
"Brazil","1969",110,"Autocratic"
"Brazil","1970",219,"Autocratic"
"Brazil","1971",179,"Autocratic"
"Brazil","1972",518,"Autocratic"
"Brazil","1973",598,"Autocratic"
"Brazil","1974",256,"Autocratic"
"Brazil","1975",539,"Autocratic"
"Brazil","1976",571,"Autocratic"
"Brazil","1977",545,"Autocratic"
"Brazil","1978",872,"Autocratic"
"Brazil","1979",394,"Autocratic"
"Brazil","1980",355,"Autocratic"
"Brazil","1981",61,"Autocratic"
"Brazil","1982",72,"Electoral Authoritarian"
"Brazil","1983",87,"Electoral Authoritarian"
"Brazil","1984",119,"Electoral Authoritarian"
"Brazil","1985",83,"Electoral Authoritarian"
"Brazil","1986",135,"Electoral Authoritarian"
"Brazil","1987",230,"Democratic"
"Brazil","1988",125,"Democratic"
"Brazil","1989",734,"Democratic"
"Brazil","1990",136,"Democratic"
"Brazil","1991",160,"Democratic"
"Brazil","1992",91,"Democratic"
"Brazil","1993",57,"Democratic"
"Brazil","1994",306,"Democratic"
"Brazil","1995",241,"Democratic"
"Brazil","1996",536,"Democratic"
"Brazil","1997",465,"Democratic"
"Brazil","1998",232,"Democratic"
"Brazil","1999",376,"Democratic"
"Brazil","2000",137,"Democratic"
"Brazil","2001",631,"Democratic"
"Brazil","2002",223,"Democratic"
"Brazil","2003",110,"Democratic"
"Brazil","2004",85,"Democratic"
"Brazil","2005",223,"Democratic"
"Brazil","2006",178,"Democratic"
"Brazil","2007",188,"Democratic"
"Brazil","2008",178,"Democratic"
"Brazil","2009",135,"Democratic"
"Brazil","2010",256,"Democratic"
"Brazil","2011",239,"Democratic"
"Brazil","2012",318,"Democratic"
"Brazil","2013",225,"Democratic"
"Brazil","2014",212,"Democratic"
"Brazil","2015",218,"Democratic"
"Brazil","2016",117,"Democratic"
"Brazil","2017",100,"Democratic"
"Brazil","2018",268,"Democratic"
"Brazil","2019",132,"Democratic"
"Brazil","2020",140,"Democratic"
"Brazil","2021",244,"Democratic"
"Brazil","2022",484,"Democratic"
"Brazil","2023",151,"Democratic"
"Qatar","1968",2,"Autocratic"
